연도(월),서울,부산,대구,인천,광주,대전,울산,세종,경기,강원,충북,충남,전북,전남,경북,경남,제주,소계
201801,,,,,,,,,,,5,"1,138",301,,6,5,3,"1,458"
201802,,,,,,,,,513,300,6,"2,564","3,867",200,260,4,7,"7,721"
201803,,,,,,,,,125,"1,078",,"3,231","8,501",,7,11,16,"12,969"
201804,,,,,,,6,50,377,"1,543",2,"1,302","2,594",1,206,67,23,"6,171"
201805,,3,,,,,,,8,221,,530,"1,000",,11,29,10,"1,812"
201806,,,,3,,,,,4,102,,309,5,54,,,5,482
201807,,,,,,,,,220,,2,704,122,,5,,3,"1,056"
201808,,,,,,,,,1,,,,,,3,22,4,30
201809,,,,,,,,,,,,150,4,,,5,2,161
201810,,,,,,,,,2,,,88,,1,,918,32,"1,041"
201811,,,,8,,,,1,,,,6,,68,,,17,100
201812,,,,,,,,,,,,7,"2,250",,,,8,"2,265"
201901,,,,,,,,,250,,,12,"4,663",42,,5,4,"4,976"
201902,,,,,10,,,,,7,,518,"4,817",42,"1,400",45,7,"6,846"
201903,,,,,,,,155,50,,,618,541,,"1,802",,10,"3,176"
201904,,,,,,,,,10,,,38,"1,600","6,150",8,,4,"7,810"
201905,,50,,5,,,,,2,7,10,4,785,21,350,711,17,"1,962"
201906,,,,3,,,,,,,,,190,,,,2,195
201907,,,,,,,,,,,,1,,,,"1,005",17,"1,023"
201908,,,,,2,,,,,,,,,,4,,4,10
201909,,,,18,,,,,15,,2,2,446,5,2,500,1,991
201910,,,,,,,,,26,,,41,90,,,,9,166
201911,,,,,10,,,,,,,77,12,256,800,,9,"1,164"
201912,,,,,,,,,,,10,5,4,2,100,,1,122
202001,,,,,,,,,,,,100,480,,140,,7,727
202002,,,,,,,,,,,,4,50,,,,1,55
202003,,,,,,,,30,,,2,,372,13,402,350,11,"1,180"
202004,,,,,,,,,1,,2,1,195,4,220,,7,430
202005,,,,,,,,,,,,,,,,,14,14
202006,,,,,,,,,3,,,1,,25,,,4,33
202007,,,,,,,,,,,,,8,2,300,,9,319
202008,,,,,,,,,,,,,360,,2,,,362
202009,,,,,,,,,,,,"1,000",120,,,,3,"1,123"
202010,,,,,,,,,,3,,,,6,,,3,12
202011,,,,,,,,,,,,,,1,,,10,11
202012,,,,,,,,,,,,,146,12,,,5,163
202101,,,,,,,,,3,,,,,,,,9,12
202102,,,,,,,,,,,1,1,,30,5,,3,40
202103,,,,,,,,,6,2,,,301,,700,,8,"1,017"
202104,,,,,,,,,,,,,,,630,150,10,790
202105,,,,,,,,,82,6,,,,8,,,4,100
202106,,,,,,,,,"2,000",10,,,"1,000",,,6,12,"3,028"
202107,,,,,,,,,,9,,,,3,,,13,25
202108,,,,,,,,,,11,,,,,,,11,22
202109,,,,,,,,,,5,,,,,,,11,16
202110,,,,,,,,,,11,,,,300,,,34,345
202111,,,,,,,,,3,2,,,,,,,10,15
202112,,,,,,,,,152,8,5,1,100,6,21,604,16,913
202201,,,,,5,,,,15,,,9,"3,746","2,000",110,499,12,"6,396"
202202,,,,,1,,,,9,,1,10,955,"1,544",6,3,10,"2,539"
202203,,,,,1,,,200,660,4,,13,"1,693",331,20,8,64,"2,994"
202204,,,,,,,,,"1,876",8,6,308,"3,809",134,13,,71,"6,225"
202205,,,,,,,,,,26,5,2,717,,5,,77,832
202206,,,,,,,3,415,,34,,1,,,,,21,474
202207,,,,,,,3,7,5,,,,330,3,,,11,359
202208,,,,,,,,,10,10,,,60,15,,5,11,111
202209,,,,,,,,,22,35,,,,,,4,23,84
202210,,,,,,,,,,,5,1,110,,,,30,146
202211,,,,,,,,,,7,,6,605,,2,,7,627
202212,,,,,,,,,5,,5,8,,,,,14,32
202301,,,,,,,,,16,4,,1,350,,13,,16,400
202302,,,,,,,,,406,11,2,2,470,2,21,24,24,962
202303,,,,,,,,,95,3,14,16,55,2,2,930,20,"1,137"
202304,,,,,,,,,7,,,,,30,,125,19,181
202305,,,,,,,,,,,,,13,,,,,13
202306,,,,,,,,,,,,,1,,,,,1
