시도,총계,한우(두)_소계,한우(두)_허가,한우(두)_신고,한우(두)_신고미만,젖소(두)_소계,젖소(두)_허가,젖소(두)_신고,젖소(두)_신고미만,돼지(두)_소계,돼지(두)_허가,돼지(두)_신고,돼지(두)_신고미만,닭(두)_소계,닭(두)_허가,닭(두)_신고,닭(두)_신고미만,말(두)_소계,말(두)_허가,말(두)_신고,말(두)_신고미만,산양_염소(두)_소계,산양_염소(두)_허가,산양_염소(두)_신고,산양_염소(두)_신고미만,면양_육양(두)_소계,면양_육양(두)_허가,면양_육양(두)_신고,면양_육양(두)_신고미만,사슴(두)_소계,사슴(두)_허가,사슴(두)_신고,사슴(두)_신고미만,개(두)_소계,개(두)_허가,개(두)_신고,개(두)_신고미만,오리(두)_소계,오리(두)_허가,오리(두)_신고,오리(두)_신고미만,타조(두)_소계,타조(두)_허가,타조(두)_신고,타조(두)_신고미만,가금기타(두)_소계,가금기타(두)_허가,가금기타(두)_신고,가금기타(두)_신고미만
서울특별시,196,62,0,0,62,15,0,0,15,0,0,0,0,0,0,0,0,18,0,18,0,7,0,7,0,0,0,0,0,50,0,50,0,44,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0
부산광역시,103253,1059,0,935,124,863,313,550,0,6434,800,5608,26,90887,0,89264,1623,1147,1128,19,0,1,0,0,1,0,0,0,0,7,0,0,7,330,0,330,0,2525,0,2400,125,0,0,0,0,0,0,0,0
대구광역시,376877,9345,1365,7681,299,1159,379,774,6,10177,7400,2777,0,353220,0,352920,300,72,72,0,0,80,0,50,30,0,0,0,0,0,0,0,0,2024,0,2024,0,800,0,0,800,0,0,0,0,0,0,0,0
인천광역시,2416548,21875,7781,13931,163,2894,477,2417,0,59962,37207,22685,70,2056829,48,2056760,21,125,0,125,0,139,0,139,0,0,0,0,0,19,0,0,19,14373,0,14363,10,159,0,0,159,0,0,0,0,260173,0,0,260173
광주광역시,366528,2931,160,2017,754,540,200,340,0,6201,4330,1840,31,243450,0,48000,195450,61,31,30,0,370,0,0,370,0,0,0,0,45,0,40,5,1430,0,1430,0,27500,0,15000,12500,0,0,0,0,84000,0,0,84000
대전광역시,84368,4065,0,3327,738,0,0,0,0,1035,0,1001,34,75193,0,70112,5081,25,0,25,0,84,0,0,84,0,0,0,0,10,0,5,5,3931,0,3825,106,25,0,0,25,0,0,0,0,0,0,0,0
울산광역시,707954,36666,9337,14118,13211,1748,395,767,586,42541,28408,4974,9159,624196,0,283200,340996,103,0,103,0,237,0,0,237,4,0,0,4,126,0,0,126,788,0,735,53,1545,0,0,1545,0,0,0,0,0,0,0,0
세종특별자치시,3726458,23869,10321,13496,52,4878,3655,1223,0,99967,70311,29656,0,3536352,92000,3437452,6900,14,3,0,11,713,2,159,552,0,0,0,0,506,0,91,415,9917,13,4297,5607,14152,0,14000,152,0,0,0,0,36090,0,0,36090
경기도,46395408,359730,170482,147911,41337,172614,78220,66936,27458,1982187,1435644,427638,118905,40644052,5226235,27994528,7423289,5582,2722,2359,501,5536,0,722,4814,971,0,0,971,4458,8,1291,3159,238897,3,176700,62194,1431183,8000,1395587,27596,102,0,0,102,1550096,0,410500,1139596
강원도,11544074,207789,72350,100851,34588,25500,13042,8163,4295,568381,459800,58499,50082,9990868,1218000,7193891,1578977,573,319,172,82,12360,0,3173,9187,1683,0,1102,581,2855,0,814,2041,52440,0,36429,16011,98775,0,59650,39125,9,0,0,9,582841,0,510000,72841
충청북도,20395132,167964,57947,74083,35934,22236,9897,9632,2707,568338,474875,67470,25993,17762148,2617621,12889082,2255445,208,20,104,84,26099,0,7006,19093,0,0,0,0,3726,14,1219,2493,112600,0,72720,39880,1504609,157879,798543,548187,74,0,0,74,227130,0,0,227130
충청남도,29140107,299564,112800,151916,34848,72471,42234,26821,3416,1964457,1439130,484956,40371,25774523,519648,23632415,1622460,675,120,415,140,14500,0,4081,10419,0,0,0,0,4945,56,1392,3497,74810,846,47922,26042,929329,5000,868795,55534,0,0,0,0,4833,0,0,4833
전라북도,44934242,334904,148630,123799,62475,42712,29154,10252,3306,1372876,947608,324426,100842,36205679,3027464,26196970,6981245,1140,653,63,424,21639,454,5716,15469,0,0,0,0,1822,1,646,1175,66303,0,32788,33515,6887167,83553,5722755,1080859,0,0,0,0,0,0,0,0
전라남도,30349075,459722,165932,196676,97114,33821,17750,11199,4872,985720,817081,158523,10116,22696311,6921017,11582280,4193014,1047,228,610,209,40111,100,16209,23802,36,0,0,36,3285,11,761,2513,82157,0,47407,34750,5886229,791135,4407147,687947,29,0,0,29,160607,0,0,160607
경상북도,27766502,610653,181485,302103,127065,38433,19727,17115,1591,1357919,995366,333524,29029,24108390,1469507,21851454,787429,3019,100,2819,100,35185,0,11947,23238,0,0,0,0,8812,0,7634,1178,72895,0,61534,11361,184135,7463,131510,45162,0,0,0,0,1347061,0,610392,736669
경상남도,16737883,288122,110510,117371,60241,28065,15298,10208,2559,1150451,1011850,127339,11262,13230174,96010,11268256,1865908,531,138,206,187,24587,0,2472,22115,81,0,0,81,2981,0,518,2463,56573,0,15655,40918,847290,0,751733,95557,12,0,0,12,1109016,0,0,1109016
제주특별자치도,1801350,31281,21243,10038,0,5647,4789,858,0,501744,447354,54390,0,1193884,0,1193884,0,10749,7317,3178,254,0,0,0,0,0,0,0,0,100,0,100,0,24715,0,24715,0,33230,0,33230,0,0,0,0,0,0,0,0,0
